player_id,name,pos,Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,game_AVG,game_OBP,game_SLG,game_OPS
642133,Rowdy Tellez,1B,2025-08-30,Athletics,Texas Rangers,3,3,0,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666
677649,Ezequiel Duran,SS,2025-08-31,Athletics,Texas Rangers,5,5,1,1,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4
666969,Adolis García,RF,2025-08-31,Athletics,Texas Rangers,5,5,1,2,0,0,0,1,0,1,0,0,0,0.4,0.4,0.4,0.8
641680,Jonah Heim,C,2025-08-31,Athletics,Texas Rangers,5,4,1,0,0,0,0,0,1,1,0,0,0,0.0,0.2,0.0,0.2
680737,Michael Helman,CF,2025-08-31,Athletics,Texas Rangers,4,2,2,0,0,0,0,0,2,0,1,0,0,0.0,0.5,0.0,0.5
673962,Josh Jung,3B,2025-08-31,Athletics,Texas Rangers,5,5,1,2,1,0,1,2,0,3,0,0,0,0.4,0.4,1.2,1.6
694671,Wyatt Langford,LF,2025-08-31,Athletics,Texas Rangers,5,3,0,0,0,0,0,2,1,1,0,0,0,0.0,0.25,0.0,0.25
592626,Joc Pederson,1B,2025-08-31,Athletics,Texas Rangers,5,5,1,2,1,0,1,3,0,1,0,0,0,0.4,0.4,1.2,1.6
669701,Josh Smith,SS,2025-08-31,Athletics,Texas Rangers,5,2,2,2,1,0,0,1,3,0,0,0,0,1.0,1.0,1.5,2.5
642133,Rowdy Tellez,1B,2025-08-31,Athletics,Texas Rangers,5,5,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0
669394,Jake Burger,1B,2025-09-01,Arizona Diamondbacks,Texas Rangers,2,2,1,1,0,1,0,1,0,0,0,0,0,0.5,0.5,1.5,2.0
677649,Ezequiel Duran,SS,2025-09-01,Arizona Diamondbacks,Texas Rangers,2,1,1,0,0,0,0,0,1,0,0,0,0,0.0,0.5,0.0,0.5
683227,Cody Freeman,3B,2025-09-01,Arizona Diamondbacks,Texas Rangers,4,3,1,2,0,0,1,3,1,0,0,0,0,0.667,0.75,1.667,2.417
666969,Adolis García,RF,2025-09-01,Arizona Diamondbacks,Texas Rangers,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
680737,Michael Helman,CF,2025-09-01,Arizona Diamondbacks,Texas Rangers,4,4,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
543309,Kyle Higashioka,C,2025-09-01,Arizona Diamondbacks,Texas Rangers,4,3,1,1,0,0,0,0,1,1,0,0,0,0.333,0.5,0.333,0.833
673962,Josh Jung,3B,2025-09-01,Arizona Diamondbacks,Texas Rangers,4,4,0,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5
694671,Wyatt Langford,LF,2025-09-01,Arizona Diamondbacks,Texas Rangers,5,5,1,1,0,0,1,1,0,2,0,0,0,0.2,0.2,0.8,1.0
664238,Dylan Moore,2B,2025-09-01,Arizona Diamondbacks,Texas Rangers,2,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
696030,Alejandro Osuna,LF,2025-09-01,Arizona Diamondbacks,Texas Rangers,1,1,0,1,0,0,0,2,0,0,0,0,0,1.0,1.0,1.0,2.0
592626,Joc Pederson,1B,2025-09-01,Arizona Diamondbacks,Texas Rangers,3,3,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
669701,Josh Smith,SS,2025-09-01,Arizona Diamondbacks,Texas Rangers,3,3,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
