year,team_id,team,W,L,G,RS,RA,home_wp,away_wp,onerun_wp,onerun_n,xi_wp,ERA,WHIP,K9,BB9,SV,SVO,BS,sv_pct,FIP,era_fip_diff,HR9,babip_against,go_ao,ir_pct,SB,CS,sb_pct,LOB,OPS,babip_off,SV_top1,Top1_SV_Ratio
2016,108,Los Angeles Angels,74,88,162,717,727,0.4938271604938271,0.419753086419753,0.4594594594594595,37,0.0,4.28,1.39,7.19,3.15,29,50,21,0.58,4.644,-0.364,1.317,0.303,0.9,0.331,73,34,0.6822429906542056,1037,0.727,0.289,19,0.6551724137931034
2016,133,Oakland Athletics,69,93,162,653,761,0.419753086419753,0.4320987654320987,0.4716981132075472,53,0.5454545454545454,4.51,1.34,7.46,2.91,42,65,23,0.6461538461538462,4.266,0.244,1.162,0.301,1.11,0.267,50,23,0.684931506849315,1036,0.699,0.28,30,0.7142857142857143
2016,120,Washington Nationals,95,67,162,763,612,0.6172839506172839,0.5555555555555556,0.5777777777777777,45,0.3846153846153846,3.51,1.19,9.1,2.89,46,60,14,0.7666666666666667,3.607,-0.097,0.956,0.292,1.0,0.263,121,39,0.75625,1105,0.752,0.293,19,0.41304347826086957
2016,121,New York Mets,87,75,162,671,617,0.5432098765432098,0.5308641975308642,0.5319148936170213,47,0.6153846153846154,3.57,1.27,8.68,2.73,55,71,16,0.7746478873239436,3.589,-0.019,0.945,0.312,1.05,0.241,42,18,0.7,1120,0.733,0.282,51,0.9272727272727272
2016,146,Miami Marlins,79,82,161,655,682,0.5,0.4814814814814814,0.4782608695652174,46,0.3636363636363636,4.05,1.36,8.65,3.73,55,84,29,0.6547619047619048,3.996,0.054,0.953,0.307,1.03,0.268,71,28,0.7171717171717171,1171,0.716,0.314,40,0.7272727272727273
2016,143,Philadelphia Phillies,71,91,162,610,796,0.4567901234567901,0.419753086419753,0.5490196078431373,51,0.5384615384615384,4.63,1.35,8.14,2.92,43,63,20,0.6825396825396826,4.368,0.262,1.334,0.307,0.96,0.351,96,45,0.6808510638297872,1043,0.685,0.291,37,0.8604651162790697
2016,144,Atlanta Braves,68,93,161,649,779,0.382716049382716,0.4625,0.4883720930232558,43,0.5,4.51,1.35,7.63,3.4,39,58,19,0.6724137931034483,4.343,0.167,1.101,0.296,1.04,0.341,75,34,0.6880733944954128,1161,0.705,0.305,20,0.5128205128205128
2016,112,Chicago Cubs,103,58,161,808,556,0.7037037037037037,0.575,0.4888888888888889,45,0.6923076923076923,3.15,1.11,8.88,3.05,38,53,15,0.7169811320754716,3.794,-0.644,1.005,0.257,1.19,0.288,66,34,0.66,1217,0.772,0.302,18,0.47368421052631576
2016,138,St. Louis Cardinals,86,76,162,779,712,0.4691358024691358,0.5925925925925926,0.5106382978723404,47,0.5714285714285714,4.08,1.32,8.02,2.95,38,55,17,0.6909090909090909,3.908,0.172,0.988,0.307,1.37,0.316,35,26,0.5737704918032787,1113,0.767,0.294,19,0.5
2016,134,Pittsburgh Pirates,78,83,161,729,758,0.475,0.4938271604938271,0.4878048780487805,41,0.6153846153846154,4.21,1.39,7.64,3.31,51,71,20,0.7183098591549296,4.328,-0.118,1.117,0.311,1.27,0.3,110,45,0.7096774193548387,1173,0.734,0.311,32,0.6274509803921569
2016,158,Milwaukee Brewers,73,89,162,671,733,0.5061728395061729,0.3950617283950617,0.4509803921568627,51,0.3076923076923077,4.08,1.38,7.37,3.34,46,69,23,0.6666666666666666,4.396,-0.316,1.117,0.303,1.18,0.336,181,56,0.7637130801687764,1071,0.729,0.304,27,0.5869565217391305
2016,113,Cincinnati Reds,68,94,162,716,854,0.4691358024691358,0.3703703703703703,0.4489795918367347,49,0.2307692307692307,4.91,1.45,7.75,3.97,28,53,25,0.5283018867924528,5.26,-0.35,1.61,0.294,0.96,0.283,139,51,0.7315789473684211,1014,0.724,0.303,17,0.6071428571428571
2016,119,Los Angeles Dodgers,91,71,162,725,638,0.654320987654321,0.4691358024691358,0.5238095238095238,42,0.4285714285714285,3.7,1.19,9.35,2.87,47,69,22,0.6811594202898551,3.635,0.065,1.022,0.291,1.01,0.287,45,26,0.6338028169014085,1106,0.728,0.294,47,1.0
