player,role,situation_a,situation_b,metric,label,n_a,n_b,a_mean,b_mean,diff,cohens_d,u_p,t_p
Garcia,Relief,SV,BS,hip_3d_dps,골반 피크 각속도 (3D),5,3,481.6215883952551,499.07315930365877,-17.451570908403653,-0.461291675845972,0.7857142857142857,0.671281581740838
Garcia,Relief,SV,BS,trunk_3d_dps,몸통 피크 각속도 (3D),5,3,872.9758182913856,906.9428010714838,-33.96698278009819,-0.434346377795435,0.7857142857142857,0.525625959377691
Garcia,Relief,SV,BS,trunk_hip_ratio,몸통/골반 각속도 비,5,3,1.7617436267194353,1.7659447610028038,-0.004201134283368546,-0.01997169973690009,1.0,0.9808988681996462
Garcia,Relief,SV,BS,timing_diff_ms,타이밍 차 몸통-골반 (ms),5,3,-130.81845730458417,-127.90568346123901,-2.912773843345164,-0.057164318572618646,1.0,0.9480439623913183
Garcia,Relief,SV,BS,hss_at_fp_deg,HSS @ FP (°),5,3,8.092698050365133,14.120720340091706,-6.028022289726573,-1.356061746696086,0.39285714285714285,0.27837232913349735
Garcia,Relief,SV,BS,hss_max_deg,HSS max (°),5,3,26.996508161315518,27.575474038779088,-0.5789658774635704,-0.1760589563035959,0.5714285714285714,0.8494805503014033
Jackson,Relief,SV,BS,hip_peak_dps,골반 피크 각속도 (XZ),3,4,339.28381487761897,281.7471740496457,57.53664082797326,0.5712927734322891,0.4,0.5035556706912826
Jackson,Relief,SV,BS,trunk_peak_dps,몸통 피크 각속도 (XZ),3,4,630.3930912602062,632.013030444458,-1.6199391842517343,-0.030457470807478643,1.0,0.9656760630270447
Jackson,Relief,SV,BS,hip_3d_dps,골반 피크 각속도 (3D),3,4,270.83898066225726,273.91991150549427,-3.080930843237013,-0.08076758787658986,1.0,0.9150435270997082
Jackson,Relief,SV,BS,trunk_3d_dps,몸통 피크 각속도 (3D),3,4,778.7551389090972,776.8767169312696,1.8784219778276565,0.041933854864471626,1.0,0.9524391292935392
Jackson,Relief,SV,BS,trunk_hip_ratio,몸통/골반 각속도 비,3,4,1.9781807938495373,2.381788712044563,-0.40360791819502584,-0.7122904343369157,0.22857142857142856,0.3994746591375086
Jackson,Relief,SV,BS,timing_diff_ms,타이밍 차 몸통-골반 (ms),3,4,-252.06427712080315,-101.7241828389708,-150.34009428183236,-1.3720652518170338,0.11428571428571428,0.11816252071267784
Jackson,Relief,SV,BS,hss_at_fp_deg,HSS @ FP (°),3,4,10.876321017703575,11.500966646002055,-0.6246456282984809,-0.10031599662150031,0.8571428571428571,0.8976203926270077
Jackson,Relief,SV,BS,hss_max_deg,HSS max (°),3,4,51.099887301519566,38.17688621716641,12.923001084353153,1.764275103845767,0.05714285714285714,0.07143415218358945
